mean_delta,median_delta,sign_agreement,prompt_mean
0.01219237266112266,0.0109375,0.713957033957034,0.6216914630977131
0.014201296261754603,0.00703125,0.6270752857705952,0.7527456390949658
0.011445932539682539,0.00732421875,0.5812698412698413,0.7914805593711843
0.008215863997113996,0.00703125,0.5208609908609908,0.709259822931698
0.014480769230769231,0.0109375,0.8094643874643875,0.8079961716524217
0.01593760187264561,0.0125,0.857167487684729,0.7223989083780064
0.01368580285732714,0.01171875,0.6914766081871344,0.6644173983326883
0.012362376562944017,0.01171875,0.630977550440466,0.693400824097755
0.017114605390080934,0.016015625,0.8079883305100697,0.6724006284702615
0.008147414492688883,0.00625,0.563201974177584,0.7272537141677766
0.011132034152313407,0.008984375,0.6937869496436125,0.7339504484837981
0.01639018495911878,0.01015625,0.8684478764478764,0.6805575850272542
0.010487194198331506,0.009765625,0.444290179840052,0.7155280454573133
0.013774181547619047,0.012890625,0.7047410192147034,0.67591757714599
0.012813802083333334,0.01015625,0.8237272727272729,0.7111362452651515
0.011735984803240238,0.01015625,0.7570611996698953,0.6382354330452156
0.009276894243727971,0.00703125,0.6790814845531826,0.7095347731572673
0.009963325718144359,0.00859375,0.7496705506594902,0.7201329577492557
0.016688861268939394,0.014453125,0.7202525252525251,0.7106457149621213
0.013679780505952383,0.01171875,0.7291269841269841,0.6503617931547618
0.010176495379620381,0.008984375,0.8093446553446553,0.7725418747918749
0.01306733630952381,0.005859375,0.387012987012987,0.7140988568722944
0.014993585673399184,0.0125,0.8537739948223818,0.8397138247966751
0.016217208860446353,0.01328125,0.8486853002070394,0.7548437476213311
0.01377347173351759,0.0126953125,0.6269277220364177,0.7577538735890468
0.009952061967355192,0.008203125,0.6527011411237902,0.7085995447692475
0.013542781144011867,0.01015625,0.6310894195120687,0.7315779725914252
0.01577307526629073,0.012890625,0.8106829573934837,0.725724296091792
0.015376191348973606,0.01484375,0.9305180840664711,0.6664367210410557
0.010889283756265664,0.008984375,0.7637169847696164,0.7579818310801041
0.01035653409090909,0.00859375,0.7744242424242425,0.705422821969697
