step,pos,ratio_mean,ratio_last4,ratio_last,conf
0,25,1.0,1.0,1.0,0.9140625
0,26,1.0,1.0,1.0,0.7109375
0,27,1.0,1.0,1.0,0.890625
0,28,1.0,1.0,1.0,0.8984375
0,29,1.0,1.0,1.0,0.4609375
0,30,1.0,1.0,1.0,0.3984375
0,31,1.0,1.0,1.0,0.546875
0,32,1.0,1.0,1.0,0.52734375
0,33,1.0,1.0,1.0,-inf
0,34,1.0,1.0,1.0,-inf
0,35,1.0,1.0,1.0,-inf
0,36,1.0,1.0,1.0,-inf
0,37,1.0,1.0,1.0,-inf
0,38,1.0,1.0,1.0,-inf
0,39,1.0,1.0,1.0,-inf
0,40,1.0,1.0,1.0,-inf
0,41,1.0,1.0,1.0,-inf
0,42,1.0,1.0,1.0,-inf
0,43,1.0,1.0,1.0,-inf
0,44,1.0,1.0,1.0,-inf
0,45,1.0,1.0,1.0,-inf
0,46,1.0,1.0,1.0,-inf
0,47,1.0,1.0,1.0,-inf
0,48,1.0,1.0,1.0,-inf
0,49,1.0,1.0,1.0,-inf
0,50,1.0,1.0,1.0,-inf
0,51,1.0,1.0,1.0,-inf
0,52,1.0,1.0,1.0,-inf
0,53,1.0,1.0,1.0,-inf
0,54,1.0,1.0,1.0,-inf
0,55,1.0,1.0,1.0,-inf
0,56,1.0,1.0,1.0,-inf
0,57,1.0,1.0,1.0,-inf
0,58,1.0,1.0,1.0,-inf
0,59,1.0,1.0,1.0,-inf
0,60,1.0,1.0,1.0,-inf
0,61,1.0,1.0,1.0,-inf
0,62,1.0,1.0,1.0,-inf
0,63,1.0,1.0,1.0,-inf
0,64,1.0,1.0,1.0,-inf
0,65,1.0,1.0,1.0,-inf
0,66,1.0,1.0,1.0,-inf
0,67,1.0,1.0,1.0,-inf
0,68,1.0,1.0,1.0,-inf
0,69,1.0,1.0,1.0,-inf
0,70,1.0,1.0,1.0,-inf
0,71,1.0,1.0,1.0,-inf
0,72,1.0,1.0,1.0,-inf
0,73,1.0,1.0,1.0,-inf
0,74,1.0,1.0,1.0,-inf
0,75,1.0,1.0,1.0,-inf
0,76,1.0,1.0,1.0,-inf
0,77,1.0,1.0,1.0,-inf
0,78,1.0,1.0,1.0,-inf
0,79,1.0,1.0,1.0,-inf
0,80,1.0,1.0,1.0,-inf
0,81,1.0,1.0,1.0,-inf
0,82,1.0,1.0,1.0,-inf
0,83,1.0,1.0,1.0,-inf
0,84,1.0,1.0,1.0,-inf
0,85,1.0,1.0,1.0,-inf
0,86,1.0,1.0,1.0,-inf
0,87,1.0,1.0,1.0,-inf
0,88,1.0,1.0,1.0,-inf
1,26,0.921875,0.88671875,0.8828125,0.96875
1,27,0.91796875,0.94921875,0.95703125,0.87890625
1,28,0.9375,0.9453125,0.9453125,0.9140625
1,29,0.953125,0.9609375,0.9609375,0.5078125
1,30,0.953125,0.96484375,0.96875,0.416015625
1,31,0.95703125,0.96484375,0.9765625,0.42578125
1,32,0.95703125,0.96875,0.9765625,0.482421875
1,33,0.95703125,0.9765625,0.98046875,-inf
1,34,0.96484375,0.9765625,0.984375,-inf
1,35,0.96875,0.9765625,0.9765625,-inf
1,36,0.96875,0.9765625,0.984375,-inf
1,37,0.96875,0.9765625,0.98828125,-inf
1,38,0.96484375,0.98046875,0.98828125,-inf
1,39,0.96875,0.98828125,0.98828125,-inf
1,40,0.9765625,0.98828125,0.98828125,-inf
1,41,0.97265625,0.98828125,0.98828125,-inf
1,42,0.98046875,0.984375,0.984375,-inf
1,43,0.97265625,0.98046875,0.984375,-inf
1,44,0.9765625,0.984375,0.984375,-inf
1,45,0.98046875,0.984375,0.98828125,-inf
1,46,0.97265625,0.98828125,0.98828125,-inf
1,47,0.984375,0.98828125,0.98828125,-inf
1,48,0.984375,0.9921875,0.98828125,-inf
1,49,0.9765625,0.98828125,0.9921875,-inf
1,50,0.98046875,0.98828125,0.9921875,-inf
1,51,0.984375,0.9921875,0.9921875,-inf
1,52,0.9765625,0.9921875,0.9921875,-inf
1,53,0.984375,0.9921875,0.9921875,-inf
1,54,0.984375,0.9921875,0.9921875,-inf
1,55,0.9765625,0.9921875,0.99609375,-inf
1,56,0.984375,0.98828125,0.9921875,-inf
1,57,0.98046875,0.9921875,0.9921875,-inf
1,58,0.98046875,0.9921875,0.9921875,-inf
