mean_delta,median_delta,sign_agreement,prompt_mean
0.05967881944444445,0.05712890625,0.8472222222222222,0.4656032986111111
0.09038899739583332,0.087890625,0.5958333333333333,0.48380533854166663
0.033935546875,0.02392578125,0.6666666666666667,0.4258219401041667
0.09038899739583332,0.087890625,0.5958333333333333,0.48380533854166663
0.0394595367739899,0.03369140625,0.7222222222222222,0.5247963028724747
0.12406994047619047,0.123046875,0.6190476190476191,0.42545572916666663
0.03924082880434783,0.02734375,0.7460869565217392,0.5315565557065217
0.024773297991071426,0.01953125,0.5625,0.5154087611607143
0.029969618055555557,0.025390625,0.8574074074074074,0.6361328125
0.02713364109848485,0.01953125,0.8361471861471861,0.7166687804383116
0.041633005287896596,0.0322265625,0.7203290246768508,0.4671021225029377
0.03465996413934426,0.0302734375,0.7741347905282332,0.7005795338114754
0.03924082880434783,0.02734375,0.7460869565217392,0.5315565557065217
0.04558454241071429,0.0390625,0.8365384615384616,0.8730066320398351
0.027169363839285712,0.021484375,0.8928571428571428,0.6645159040178571
0.03574787119708995,0.025390625,0.8002645502645502,0.43630900710978837
0.02151012614097363,0.017578125,0.7647058823529411,0.6928621798935091
0.02825323547979798,0.0224609375,0.6080808080808081,0.5344854797979798
0.030550870028409092,0.0224609375,0.759469696969697,0.5522941820549242
0.04706345942982456,0.0380859375,0.6228070175438596,0.4388277823464912
0.0250244140625,0.02294921875,0.875,0.43597412109375
0.027117047991071428,0.02294921875,0.675,0.4530918666294643
0.05335391465053763,0.0517578125,0.6881720430107527,0.46657111055107525
0.025243111460772835,0.01904296875,0.7423887587822013,0.6788161409543325
0.038501431482919256,0.02734375,0.718944099378882,0.524025863742236
0.08780924479166666,0.0849609375,0.5833333333333333,0.4189453125
0.024773297991071426,0.01953125,0.5625,0.5154087611607143
0.028591579861111112,0.02099609375,0.6924603174603174,0.5253828745039683
0.03028595753205128,0.01953125,0.7298534798534799,0.49397428743131866
0.023240214646464648,0.0205078125,0.8543771043771045,0.6543856534090909
0.04815793504901961,0.0439453125,0.5980392156862745,0.4699084712009804
0.035961206408514496,0.025390625,0.7219202898550725,0.620246334352355
0.033646907712438424,0.0283203125,0.896551724137931,0.6784932554649015
0.09125434027777778,0.08935546875,0.6805555555555556,0.4496527777777778
0.04176958869485294,0.0341796875,0.5772058823529411,0.4533475988051471
0.04126169559041502,0.029296875,0.6358695652173914,0.5062887923048419
0.02641858552631579,0.01171875,0.2894736842105263,0.7075452302631579
0.030653211805555556,0.02392578125,0.6277777777777778,0.4159939236111111
0.08267179099462366,0.08203125,0.7688172043010753,0.6905451948924731
0.06140718005952381,0.0546875,0.6309523809523809,0.5011858258928572
0.09482672275641026,0.09375,0.782051282051282,0.47265625
0.023399589965062112,0.017578125,0.8260869565217391,0.7433687766886645
0.05771040482954545,0.0615234375,0.675,0.5216930042613637
0.055551382211538464,0.04248046875,0.7596153846153846,0.6519305889423077
0.022212868175287358,0.01318359375,0.8666666666666667,0.678552667025862
0.027464110644257703,0.01953125,0.669467787114846,0.4519350709033613
0.03918280117753623,0.02392578125,0.677536231884058,0.43802189481431164
0.038240693306010924,0.0341796875,0.7185792349726776,0.7082292733948088
