token_id,token_str,token_norm,count,unique_runs,categories
126081,<|endoftext|>,<|endoftext|>,257,159,special_token
126348,<|eot_id|>,<|eot_id|>,64,64,special_token
13,.,.,54,53,punctuation;sentence_boundary
198,Ċ,Ċ,37,30,special_token
378,Ġthat,that,13,13,other
268,Ġthe,the,4,4,other
9374,Ġwaiting,waiting,4,2,content_heavy
37968,Experience,Experience,3,3,content_heavy
391,Ġwith,with,3,3,content_heavy
259,Ġa,a,3,3,other
5209,Ġsense,sense,3,3,content_heavy
300,Ġof,of,3,3,content_heavy
3180,'m,'m,3,3,other
2526,Ġexperience,experience,2,2,content_heavy
1077,ĠThis,This,2,2,other
6608,"?""","?""",2,2,other
989,Ġthem,them,2,2,other
11,",",",",2,2,clause_boundary;punctuation
5349,Ġuses,uses,2,2,content_heavy
4159,Ġhope,hope,2,2,content_heavy
331,ĠI,I,2,2,other
731,Ġbut,but,2,2,contrast_marker
1904,".""",".""",2,2,other
40,I,I,2,2,other
1672,We,We,2,2,other
17074,Ġimplications,implications,2,2,content_heavy
85100,Ġswapping,swapping,1,1,content_heavy
17721,Ġmoral,moral,1,1,content_heavy
35038,Ġcuriosity,curiosity,1,1,content_heavy
1853,Ġsame,same,1,1,content_heavy
10982,Ġwitness,witness,1,1,content_heavy
11756,Ġbroken,broken,1,1,content_heavy
1435,Ġsuch,such,1,1,content_heavy
2240,ĠThey,They,1,1,other
6023,anger,anger,1,1,content_heavy
1325,Ġmost,most,1,1,content_heavy
38814,Ġrebuild,rebuild,1,1,content_heavy
87379,Ġdebating,debating,1,1,content_heavy
9117,Ġreality,reality,1,1,content_heavy
2428,Ġfeel,feel,1,1,content_heavy
13855,Ġreplaced,replaced,1,1,content_heavy
1813,Ġday,day,1,1,content_heavy
15477,Ġsorry,sorry,1,1,content_heavy
1741,ĠFor,For,1,1,other
37450,ĠWoods,Woods,1,1,content_heavy
10864,Ġtrees,trees,1,1,content_heavy
7313,Ġdream,dream,1,1,content_heavy
25131,Ġlasting,lasting,1,1,content_heavy
444,th,th,1,1,content_heavy
526,Ġnot,not,1,1,other
14978,Ġentertainment,entertainment,1,1,content_heavy
45318,Sol,Sol,1,1,content_heavy
10796,ĠIts,Its,1,1,content_heavy
453,Ġor,or,1,1,other
46107,Upon,Upon,1,1,content_heavy
64223,Ġdisagreement,disagreement,1,1,content_heavy
22744,ĠAlice,Alice,1,1,content_heavy
22018,ĠMemory,Memory,1,1,content_heavy
12049,ĠSecret,Secret,1,1,content_heavy
9497,Ġmeasures,measures,1,1,content_heavy
16211,Ġscenario,scenario,1,1,content_heavy
2917,Ġpossible,possible,1,1,content_heavy
55402,hope,hope,1,1,content_heavy
1387,Ġwhere,where,1,1,other
4231,Ġcity,city,1,1,content_heavy
3691,New,New,1,1,content_heavy
44812,ĠDawn,Dawn,1,1,content_heavy
21465,Ġpoverty,poverty,1,1,content_heavy
11351,Ġvirus,virus,1,1,content_heavy
22151,Ġglobe,globe,1,1,content_heavy
31826,Ġchaos,chaos,1,1,content_heavy
5638,That,That,1,1,other
17298,Ġmistake,mistake,1,1,content_heavy
37705,Shadow,Shadow,1,1,content_heavy
2766,Ġable,able,1,1,content_heavy
963,ĠIt,It,1,1,other
6139,Ġprotected,protected,1,1,content_heavy
10277,Ġsounds,sounds,1,1,content_heavy
4054,Ġcame,came,1,1,content_heavy
403,Ġit,it,1,1,other
12282,Ġemotional,emotional,1,1,content_heavy
296,Ġin,in,1,1,content_heavy
6528,Ġassist,assist,1,1,content_heavy
5470,Ġsound,sound,1,1,content_heavy
7154,Ġdemand,demand,1,1,content_heavy
3392,Ġside,side,1,1,content_heavy
41118,Ġpretend,pretend,1,1,content_heavy
12458,ĠAI,AI,1,1,content_heavy
7478,Ġposts,posts,1,1,content_heavy
5104,Ġmoment,moment,1,1,content_heavy
1965,ĠAs,As,1,1,cause_marker
5674,Ġdifference,difference,1,1,content_heavy
57736,Alice,Alice,1,1,content_heavy
6083,Ġindividuals,individuals,1,1,content_heavy
468,ĠThe,The,1,1,other
3261,Ġpast,past,1,1,content_heavy
21542,Ġgenerations,generations,1,1,content_heavy
869,Ġour,our,1,1,other
3260,ĠHowever,However,1,1,content_heavy;contrast_marker
947,Ġthere,there,1,1,other
2111,Ġstill,still,1,1,content_heavy;contrast_marker
4137,ĠJohn,John,1,1,content_heavy
723,Ġhas,has,1,1,other
8296,Ġlibrary,library,1,1,content_heavy
29770,Ġguilt,guilt,1,1,content_heavy
19830,Ġmoon,moon,1,1,content_heavy
1255,Ġpeople,people,1,1,content_heavy
99887,itizen,itizen,1,1,content_heavy
38566,Ġwoke,woke,1,1,content_heavy
1227,'t,'t,1,1,other
3401,Ġreason,reason,1,1,content_heavy
36350,ĠListen,Listen,1,1,content_heavy
4721,ĠCity,City,1,1,content_heavy
11405,"""I","""I",1,1,other
3507,Ġothers,others,1,1,content_heavy
7442,###,###,1,1,other
678,The,The,1,1,other
5555,Ġitself,itself,1,1,content_heavy
13343,Ġcrowd,crowd,1,1,content_heavy
10214,Ġobserv,observ,1,1,content_heavy
51383,Ġtestament,testament,1,1,content_heavy
297,Ġto,to,1,1,content_heavy
6103,Ġnote,note,1,1,content_heavy
362,Ġyou,you,1,1,other
17825,Ġwake,wake,1,1,content_heavy
1400,ĠYou,You,1,1,other
33129,Ġshocked,shocked,1,1,content_heavy
529,Ġwas,was,1,1,other
546,Ġfrom,from,1,1,content_heavy
